"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
1123,0,0,-4.2626950E+02, 4.9316402E+01, 9.0917963E+02, 4.5038167E-01, 2.6870229E+00,-9.0839696E-01, 4.1850002E+01, 3.7950001E+01, 1.5450001E+01, 2.6448229E+01, 2.3350000E+01, 9.2841852E+04, 2.4069336E+01, 0.0000000E+00, 6.7150002E+00, 9.3000001E-01,0,0,
1675,0,0,-4.3701169E+02, 4.9804684E+01, 9.1113275E+02, 2.1374045E-01,-1.7099236E+00, 4.5801526E-01, 4.1700001E+01, 3.7800003E+01, 1.5150001E+01, 2.6735765E+01, 2.3410000E+01, 9.2841742E+04, 2.3991211E+01, 0.0000000E+00, 6.7220001E+00, 9.3000001E-01,0,0,
2224,0,0,-4.2285153E+02, 3.8085938E+01, 9.1210931E+02, 3.3129771E+00,-9.1603056E-02,-7.6335877E-02, 4.1700001E+01, 3.7050003E+01, 1.5600000E+01, 2.6975380E+01, 2.3430000E+01, 9.2841000E+04, 2.3922852E+01, 0.0000000E+00, 6.7170000E+00, 8.5100001E-01,0,0,
2776,0,0,-4.4189450E+02, 3.8574219E+01, 9.1406244E+02, 2.3969467E+00,-1.3740458E+00,-1.8473282E+00, 4.1850002E+01, 3.9000000E+01, 1.5450001E+01, 2.6831612E+01, 2.3450001E+01, 9.2842742E+04, 2.3853516E+01, 0.0000000E+00, 6.7129998E+00, 8.5100001E-01,0,0,
3325,0,0,-4.3164059E+02, 5.1757809E+01, 9.1308588E+02, 6.1832058E-01,-6.5648854E-01,-1.1450382E-01, 4.0950001E+01, 3.6600002E+01, 1.5900001E+01, 2.6783688E+01, 2.3459999E+01, 9.2845430E+04, 2.3807617E+01, 0.0000000E+00, 6.7160001E+00, 9.3800002E-01,0,0,
3877,0,0,-4.2871091E+02, 4.7851559E+01, 9.1308588E+02,-2.0229008E+00,-7.6335877E-02,-1.3511450E+00, 4.0950001E+01, 3.8550003E+01, 1.4850000E+01, 2.7167072E+01, 2.3469999E+01, 9.2842547E+04, 2.3784180E+01, 3.9500001E-01, 6.7389998E+00, 8.5100001E-01,0,0,
4390,0,0,-4.2382809E+02, 2.7343748E+01, 9.1503900E+02,-9.0839696E-01, 2.3969467E+00,-3.0534351E-01, 4.2900002E+01, 3.7500000E+01, 1.5750001E+01, 2.7167072E+01, 2.3480000E+01, 9.2842328E+04, 2.3762695E+01, 4.0300000E-01, 6.7249999E+00, 8.5100001E-01,0,0,
4905,0,0,-4.4287106E+02, 3.7109375E+01, 9.0820306E+02,-6.1832058E-01, 8.3206105E-01,-1.6030535E+00, 4.1700001E+01, 3.7050003E+01, 1.5600000E+01, 2.7119148E+01, 2.3490000E+01, 9.2844328E+04, 2.3762695E+01, 9.8600000E-01, 6.7470002E+00, 8.5000002E-01,0,0,
5419,0,0,-4.4140622E+02, 3.0273436E+01, 9.0673822E+02,-4.5801528E-02,-2.9770991E-01,-4.3511450E-01, 4.2600002E+01, 3.7950001E+01, 1.5000001E+01, 2.7454609E+01, 2.3500000E+01, 9.2843664E+04, 2.3750977E+01, 1.9160000E+00, 6.7459998E+00, 8.5200000E-01,0,0,
5936,0,0,-4.4677731E+02, 2.8808592E+01, 9.1552728E+02, 9.0076333E-01,-2.3282442E+00, 1.9847329E-01, 4.2600002E+01, 3.8250000E+01, 1.4700001E+01, 2.7119148E+01, 2.3500000E+01, 9.2843438E+04, 2.3763672E+01, 3.1900001E+00, 6.7389998E+00, 8.5100001E-01,0,0,
6452,0,0,-4.3701169E+02, 4.1503902E+01, 9.1406244E+02, 2.0152671E+00,-8.1679392E-01,-2.9770991E-01, 4.2600002E+01, 3.7200001E+01, 1.6050001E+01, 2.7167072E+01, 2.3510000E+01, 9.2844359E+04, 2.3705078E+01, 2.0980000E+00, 6.7150002E+00, 8.5100001E-01,0,0,
6969,0,0,-4.5361325E+02, 2.7832029E+01, 9.1406244E+02, 6.6412216E-01, 9.2366409E-01, 1.2977099E+00, 4.1550003E+01, 3.6750000E+01, 1.5750001E+01, 2.7262917E+01, 2.3510000E+01, 9.2843344E+04, 2.3624023E+01, 0.0000000E+00, 6.7160001E+00, 8.5100001E-01,0,0,
7518,0,0,-4.6826169E+02, 1.6601563E+01, 8.8574213E+02, 8.6259544E-01, 7.0992365E+00,-1.1221374E+00, 4.0650002E+01, 3.9600002E+01, 1.6650002E+01, 2.7454609E+01, 2.3520000E+01, 9.2842953E+04, 2.3530273E+01, 2.1510000E+00, 6.6350002E+00, 1.7270000E+00,0,0,
8036,0,0,-5.0878903E+02,-1.0742187E+01, 8.9453119E+02, 2.4580152E+00,-1.9923664E+00,-2.5725191E+00, 3.9750000E+01, 3.7950001E+01, 1.5750001E+01, 2.7454609E+01, 2.3530001E+01, 9.2840000E+04, 2.3472656E+01, 2.1520000E+00, 6.6479998E+00, 2.1200000E-01,0,0,
8550,0,0,-4.9169919E+02, 1.9531250E+01, 8.7939447E+02,-5.6488550E-01,-3.4351146E-01,-4.5038167E-01, 3.9150002E+01, 3.8850002E+01, 1.6650002E+01, 2.7358763E+01, 2.3530001E+01, 9.2845172E+04, 2.3438477E+01, 2.1250000E+00, 6.6650000E+00, 4.5199999E-01,0,0,
