"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
3316869,20,355, 8.6865228E+02, 4.8583981E+02, 1.5624999E+01, 3.1603053E+00,-1.8702290E+00,-1.9618320E+00,-7.7850006E+01,-3.5850002E+01,-1.5060001E+02, 5.2278641E+01, 4.7680000E+01, 9.0612266E+04, 1.1394531E+01, 6.5700001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3318025,20,355, 8.5888666E+02, 4.7656247E+02, 2.3925779E+01,-1.2213740E+00,-1.3358779E+00,-3.5419848E+00,-7.8150002E+01,-3.6750000E+01,-1.5000000E+02, 5.2326565E+01, 4.7689999E+01, 9.0613688E+04, 1.1394531E+01, 6.5700001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3319181,20,355, 8.6328119E+02, 4.7802731E+02, 1.8066406E+01, 2.5954199E-01,-2.0076337E+00,-2.8244274E+00,-7.6500000E+01,-3.7050003E+01,-1.5015001E+02, 5.2086952E+01, 4.7689999E+01, 9.0612813E+04, 1.1394531E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3320337,20,356, 8.6572260E+02, 4.8095700E+02, 1.5624999E+01,-9.1603056E-02, 2.4427481E-01,-2.5419848E+00,-7.5450005E+01,-3.7350002E+01,-1.5120001E+02, 5.2470333E+01, 4.7689999E+01, 9.0613500E+04, 1.1381836E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3321494,20,356, 8.6230463E+02, 4.9218747E+02, 1.6601563E+01, 1.2748091E+00, 6.3358778E-01,-2.4656489E+00,-7.6650002E+01,-3.6750000E+01,-1.5045001E+02, 5.2278641E+01, 4.7700001E+01, 9.0612813E+04, 1.1345703E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3322651,20,356, 8.6767572E+02, 4.9316403E+02, 8.3007813E+00, 1.5877863E+00,-6.8702288E-02,-3.1832061E+00,-7.5750000E+01,-3.6600002E+01,-1.5060001E+02, 5.2470333E+01, 4.7700001E+01, 9.0612813E+04, 1.1382813E+01, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3323808,20,356, 8.5644525E+02, 4.9999997E+02, 1.8066406E+01, 6.5648854E-01,-2.2824428E+00,-4.5801528E-02,-7.5000000E+01,-3.7050003E+01,-1.4985001E+02, 5.2134872E+01, 4.7689999E+01, 9.0610875E+04, 1.1382813E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3324969,20,356, 8.6279291E+02, 4.8974606E+02, 1.9531250E+01, 8.0916029E-01,-3.0687022E+00, 2.6717559E-01,-7.5900002E+01,-3.8700001E+01,-1.5180000E+02, 5.2422409E+01, 4.7700001E+01, 9.0610875E+04, 1.1357422E+01, 6.5700001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3326128,20,356, 8.6279291E+02, 4.8144528E+02, 1.0742187E+01, 2.0458016E+00,-1.6412214E+00,-4.6564886E-01,-7.6500000E+01,-3.5850002E+01,-1.5120001E+02, 5.2470333E+01, 4.7709999E+01, 9.0612453E+04, 1.1370117E+01, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3327288,20,356, 8.5986322E+02, 4.9121091E+02, 1.0253905E+01, 4.9236641E+00, 4.1068702E+00,-3.3053436E+00,-7.7700005E+01,-3.6000000E+01,-1.5045001E+02, 5.2039028E+01, 4.7709999E+01, 9.0611055E+04, 1.1419922E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3328445,20,356, 8.6083978E+02, 4.8046872E+02, 1.4160155E+01, 3.0152671E+00, 2.2290077E+00,-2.6870229E+00,-7.6650002E+01,-3.5700001E+01,-1.5075000E+02, 5.2470333E+01, 4.7709999E+01, 9.0604750E+04, 1.1370117E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3329606,20,356, 8.6279291E+02, 4.7656247E+02, 2.1972654E+01, 1.4274809E+00,-1.5419847E+00,-3.2671757E+00,-7.8450005E+01,-3.7500000E+01,-1.5150000E+02, 5.2230721E+01, 4.7709999E+01, 9.0605453E+04, 1.1370117E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3330764,20,357, 8.5644525E+02, 4.9023434E+02, 2.1972654E+01, 1.7099236E+00,-1.7938931E+00,-2.1526718E+00,-7.7250000E+01,-3.6300003E+01,-1.5240001E+02, 5.2230721E+01, 4.7720001E+01, 9.0609297E+04, 1.1444336E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3331922,20,357, 8.5839838E+02, 4.7949216E+02, 2.0019531E+01,-5.5725193E-01, 3.0610688E+00,-1.0381680E+00,-7.4700005E+01,-3.6600002E+01,-1.5120001E+02, 5.2230721E+01, 4.7720001E+01, 9.0607891E+04, 1.1371094E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3333080,20,357, 8.5839838E+02, 4.8437497E+02, 1.6113281E+01, 1.3129771E+00,-1.3587786E+00,-1.9618320E+00,-7.6500000E+01,-3.7350002E+01,-1.5060001E+02, 5.2326565E+01, 4.7720001E+01, 9.0607891E+04, 1.1358398E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
